MASTER_ID,LONGITUDE,LATITUDE,LonUTMAlbers,LatUTMAlbers,WATER,SRTM_M,NGDC24_M,Area
110627,-145.73213,60.16942,236.1102797,6153.485885,1,-127,-123,1
110360,-146.31106,60.18596,204.0164004,6153.484841,1,-99,-106,1
110628,-145.69625,60.16719,238.1082699,6153.360979,1,-126,-122,1
110361,-146.27512,60.18389,206.0144775,6153.360569,1,-96,-107,1
110362,-146.23919,60.18181,208.0125468,6153.236256,1,-82,-93,1
110629,-145.66037,60.16496,240.1062519,6153.236034,1,-126,-115,1
110363,-146.20326,60.17972,210.0106081,6153.111904,1,-86,-100,1
110630,-145.6245,60.16271,242.1042256,6153.111048,1,-123,-115,1
110364,-146.16734,60.17762,212.0086615,6152.987512,1,-80,-91,1
110631,-145.58863,60.16046,244.102191,6152.986023,1,-114,-110,1
110365,-146.13142,60.17551,214.006707,6152.86308,1,-90,-89,1
110632,-145.55277,60.1582,246.100148,6152.860957,1,-104,-105,1
110366,-146.0955,60.17339,216.0047445,6152.738609,1,-92,-86,1
110633,-145.51691,60.15592,248.0980967,6152.735852,1,-97,-102,1
110367,-146.05959,60.17126,218.002774,6152.614098,1,-92,-88,1
110634,-145.48106,60.15364,250.0960371,6152.610707,1,-87,-91,1
110368,-146.02369,60.16912,220.0007955,6152.489547,1,-93,-92,1
110635,-145.44521,60.15135,252.093969,6152.485522,1,-79,-86,1
110369,-145.98779,60.16698,221.998809,6152.364956,1,-100,-96,1
110636,-145.40937,60.14905,254.0918926,6152.360298,1,-85,-86,1
110370,-145.95189,60.16482,223.9968144,6152.240326,1,-103,-99,1
110083,-146.53084,60.18041,191.9031081,6152.235489,1,-139,-147,1
110637,-145.37353,60.14673,256.0898077,6152.235033,1,-74,-77,1
110371,-145.916,60.16265,225.9948117,6152.115656,1,-104,-100,1
110084,-146.49489,60.1784,193.9011897,6152.111451,1,-129,-133,1
110638,-145.3377,60.14441,258.0877143,6152.109728,1,-60,-72,1
110372,-145.88011,60.16048,227.9928009,6151.990946,1,-108,-100,1
110085,-146.45895,60.17638,195.8992637,6151.987374,1,-122,-126,1
110639,-145.30187,60.14208,260.0856125,6151.984384,1,-57,-74,1
110373,-145.84423,60.15829,229.990782,6151.866196,1,-105,-103,1
110086,-146.42302,60.17435,197.8973298,6151.863257,1,-111,-121,1
110640,-145.26605,60.13974,262.0835022,6151.858999,1,-55,-68,1
110374,-145.80835,60.15609,231.988755,6151.741406,1,-115,-108,1
110087,-146.38709,60.1723,199.8953883,6151.7391,1,-84,-114,1
110641,-145.23024,60.13739,264.0813834,6151.733575,1,-56,-64,1
110375,-145.77248,60.15389,233.9867198,6151.616577,1,-119,-115,1
110088,-146.35116,60.17025,201.8934389,6151.614904,1,-82,-104,1
110642,-145.19443,60.13503,266.079256,6151.608111,1,-55,-65,1
110376,-145.73661,60.15168,235.9846764,6151.491708,1,-128,-121,1
110089,-146.31524,60.16819,203.8914817,6151.490668,1,-80,-77,1
110643,-145.15862,60.13266,268.07712,6151.482606,1,-70,-62,1
110377,-145.70075,60.14945,237.9826247,6151.366799,1,-125,-118,1
110090,-146.27932,60.16612,205.8895167,6151.366393,1,-84,-85,1
110644,-145.12282,60.13029,270.0749755,6151.357062,1,-60,-59,1
110091,-146.2434,60.16405,207.8875439,6151.242077,1,-86,-83,1
110378,-145.66489,60.14722,239.9805649,6151.24185,1,-129,-123,1
110645,-145.08702,60.1279,272.0728224,6151.231478,1,-55,-64,1
110092,-146.20749,60.16196,209.8855631,6151.117722,1,-85,-86,1
110379,-145.62904,60.14497,241.9784968,6151.116861,1,-126,-121,1
110646,-145.05123,60.1255,274.0706606,6151.105853,1,-54,-62,1
110093,-146.17159,60.15986,211.8835745,6150.993327,1,-79,-82,1
