"area","Mean.totalDensity","Median.totalDensity","SD.totalDensity","lower95","upper95","year.numb","year","N.obs.Area","Species"
"11",4.68409479844052e-10,4.62402399737801e-11,2.65932509480251e-09,5.69337557684289e-13,3.21719099930185e-09,1,1984,"1960","Albatrossiapectoralis"
"11",2.08590352037781e-09,1.64259979643483e-10,2.14064844207749e-08,1.44192299716584e-12,1.39459010318689e-08,2,1987,"1960","Albatrossiapectoralis"
"11",3.94535481121171e-09,2.46631065617754e-10,4.14809893847715e-08,2.95189725686759e-12,2.24171807091166e-08,3,1990,"1960","Albatrossiapectoralis"
"11",8.68520011304686e-09,7.68406647481529e-10,5.25460817574216e-08,8.32140177729184e-12,5.14532708439701e-08,4,1993,"1960","Albatrossiapectoralis"
"11",7.67835155997589e-09,9.3083552270102e-10,2.57903972318299e-08,1.16949430086489e-11,6.76424838868304e-08,5,1996,"1960","Albatrossiapectoralis"
"11",9.26690086066769e-08,1.13901748104386e-08,4.37129440213364e-07,1.46562310974512e-10,5.43234068800796e-07,6,1999,"1960","Albatrossiapectoralis"
"11",1.29179523218654e-07,8.3921608937927e-09,1.48455799930317e-06,9.21494689699682e-11,6.98367155017586e-07,7,2001,"1960","Albatrossiapectoralis"
"11",5.46902788055655e-08,5.04938162894272e-09,3.99795323505497e-07,6.20389277602914e-11,2.93892313219934e-07,8,2003,"1960","Albatrossiapectoralis"
"11",4.03890593897535e-08,4.44756282226146e-09,2.38432730049722e-07,5.03565160798418e-11,2.42879443572156e-07,9,2005,"1960","Albatrossiapectoralis"
"11",2.0279387405727e-08,1.89831574033762e-09,1.0989645345686e-07,2.26671463872169e-11,1.56580741008203e-07,10,2007,"1960","Albatrossiapectoralis"
"11",2.59322308557007e-08,2.88098735450712e-09,1.28024472771828e-07,3.5524043069919e-11,1.94957313729835e-07,11,2009,"1960","Albatrossiapectoralis"
"11",1.89966653162966e-08,1.75202062898705e-09,8.14779527177533e-08,2.29816386449922e-11,1.52041570412914e-07,12,2011,"1960","Albatrossiapectoralis"
"2",6.9946574315089e-09,9.47222026378768e-10,5.31996283479575e-08,2.0547787988842e-11,3.78274722887844e-08,1,1984,"534","Albatrossiapectoralis"
"2",1.11693853429599e-08,1.68965707638689e-09,4.32850005610666e-08,2.86086650485339e-11,8.621573224147e-08,2,1987,"534","Albatrossiapectoralis"
"2",1.21600696243492e-08,1.78487411753722e-09,5.13162532238152e-08,2.50291900292642e-11,9.25286406658723e-08,3,1990,"534","Albatrossiapectoralis"
