genus.species,common.name,trait,estimate,gender,region,reference,database,lengthType,comments
Sebastes group 1,,depthRange,100-300,both,N Pacific,Orr et al. 1998,REEM,,data are for Sebastes variabilis
Sebastes group 1,,depthMax,300,both,N Pacific,Orr et al. 1998,REEM,,data are for Sebastes variabilis
Sebastes group 1,,Linfinity,45.7,m,GoA,,fishbase,FL,data are for Sebastes variabilis
Sebastes group 1,,Linfinity,46.1,f,GoA,,fishbase,FL,data are for Sebastes variabilis
Sebastes group 1,,Linfinity,47.5,u,GoA,,fishbase,FL,data are for Sebastes variabilis
Sebastes group 1,,K,0.22,m,GoA,,fishbase,,data are for Sebastes variabilis
Sebastes group 1,,K,0.25,f,GoA,,fishbase,,data are for Sebastes variabilis
Sebastes group 1,,K,0.2,u,GoA,,fishbase,,data are for Sebastes variabilis
Gadus macrocephalus,Pacific cod,diet,"I, B",both,GoA,,REEM Groundfish Diet Database,,
Gadus macrocephalus,Pacific cod,guild,A,both,GoA,,REEM Groundfish Diet Database,,
Gadus macrocephalus,Pacific cod,trophicPosition,4.1,both,GoA,Aydin et al. 2007,,,
Gadus macrocephalus,Pacific cod,firstMaturityLength,50+,u,Bering Strait,,fishbase,,
Gadus macrocephalus,Pacific cod,firstMaturityLength,50-80,m,"NW Pacific, Russia",,fishbase,,
Gadus macrocephalus,Pacific cod,firstMaturityLength,55-85,f,"NW Pacific, Russia",,fishbase,,
Gadus macrocephalus,Pacific cod,firstMaturityLength,55-65,m,E Sea of Okhotsk,,fishbase,,
Gadus macrocephalus,Pacific cod,firstMaturityLength,60-65,f,E Sea of Okhotsk,,fishbase,,
Gadus macrocephalus,Pacific cod,firstMaturityLength,55-65,m,Kamchatka,,fishbase,,
Gadus macrocephalus,Pacific cod,firstMaturityLength,60-70,f,Kamchatka,,fishbase,,
Gadus macrocephalus,Pacific cod,firstMaturityLength,60-70,m,SW Bering,,fishbase,,
Gadus macrocephalus,Pacific cod,firstMaturityLength,65-70,f,SW Bering,,fishbase,,
Gadus macrocephalus,Pacific cod,firstMaturityLength,60-70,m,W Bering,,fishbase,,
Gadus macrocephalus,Pacific cod,firstMaturityLength,65-70,f,W Bering,,fishbase,,
Gadus macrocephalus,Pacific cod,firstMaturityLength,40+,f,unknown,,fishbase,,
Gadus macrocephalus,Pacific cod,firstMaturityLength,40-44,u,Washington,,fishbase,,
Gadus macrocephalus,Pacific cod,firstMaturityLength,67+,u,"Hokkaido, Japan",,fishbase,,
Gadus macrocephalus,Pacific cod,firstMaturityLength,50+,u,GoA,,fishbase,,
Gadus macrocephalus,Pacific cod,firstMaturityLength,50.2,u,Hecate Strait,,fishbase,TL,
Gadus macrocephalus,Pacific cod,firstMaturityLength,67,f,Bering Sea & Aleutian Islands,,fishbase,NG,
Gadus macrocephalus,Pacific cod,firstMaturityAge,3+,both,Bering Strait,,fishbase,u,
Gadus macrocephalus,Pacific cod,firstMaturityAge,3.0-8.0,m,"NW Pacific, Russia",,fishbase,,
Gadus macrocephalus,Pacific cod,firstMaturityAge,4.0-9.0,f,"NW Pacific, Russia",,fishbase,,
Gadus macrocephalus,Pacific cod,firstMaturityAge,5.0-6.0,m,E Sea of Okhotsk,,fishbase,,
Gadus macrocephalus,Pacific cod,firstMaturityAge,5.0-7.0,f,E Sea of Okhotsk,,fishbase,,
Gadus macrocephalus,Pacific cod,firstMaturityAge,5.0-6.0,m,Kamchatka,,fishbase,,
Gadus macrocephalus,Pacific cod,firstMaturityAge,5.0-7.0,f,Kamchatka,,fishbase,,
Gadus macrocephalus,Pacific cod,firstMaturityAge,5.0-6.0,m,SW Bering,,fishbase,,
Gadus macrocephalus,Pacific cod,firstMaturityAge,5.0-7.0,f,SW Bering,,fishbase,,
Gadus macrocephalus,Pacific cod,firstMaturityAge,5.0-6.0,m,W Bering,,fishbase,,
Gadus macrocephalus,Pacific cod,firstMaturityAge,5.0-7.0,f,W Bering,,fishbase,,
Gadus macrocephalus,Pacific cod,firstMaturityAge,2.0-3.0,f,unknown,,fishbase,,
Gadus macrocephalus,Pacific cod,firstMaturityAge,2.0-3.0,u,Washington,,fishbase,,
Gadus macrocephalus,Pacific cod,firstMaturityAge,5.0+,u,"Hokkaido, Japan",,fishbase,,
Gadus macrocephalus,Pacific cod,firstMaturityAge,3.0+,u,GoA,,fishbase,,
Gadus macrocephalus,Pacific cod,lengthMaximum,119,both,,,fishbase,TL,
Gadus macrocephalus,Pacific cod,lengthMaximum,147,f,GoA,AFSC trawl survey,REEM,,
Gadus macrocephalus,Pacific cod,lengthMaximum,195,f,E Bering,AFSC trawl survey,REEM,,
Gadus macrocephalus,Pacific cod,ageMaximum,25,both,,,fishbase,,
Gadus macrocephalus,Pacific cod,ageMaximum,25,both,GoA,Munk 2001,REEM,,
Gadus macrocephalus,Pacific cod,Linfinity,98.22,both,GoA,,2015 Stock Assessment,,GoA Stock Assessement estimates are for model 3 1/4 (best fit model)
Gadus macrocephalus,Pacific cod,K,0.172,both,GoA,,2015 Stock Assessment,,GoA Stock Assessement estimates are for model 3 1/4 (best fit model)
Gadus macrocephalus,Pacific cod,adultWaterColumnPosition,demersal,both,,,fishbase,,
Gadus macrocephalus,Pacific cod,adultSlopeShelf,"shelf, upper slope",both,,,fishbase,,
Gadus macrocephalus,Pacific cod,adultSubstrate,"mud, sand, clay",both,GoA,,2015 Stock Assessment,,
Gadus macrocephalus,Pacific cod,migratoryStatus,oceanadromous,both,,,fishbase,,
Gadus macrocephalus,Pacific cod,temperatureLower,6,both,,,fishbase,,
Gadus macrocephalus,Pacific cod,temperatureUpper,9,both,,,fishbase,,
Gadus macrocephalus,Pacific cod,depthRange,0-300,both,GoA,,2015 Stock Assessment,,
Gadus macrocephalus,Pacific cod,depthMax,300,both,GoA,,2015 Stock Assessment,,
Gadus macrocephalus,Pacific cod,depthRange,0-300,both,N Pacific,Allen & Smith 1988,REEM,,
Gadus macrocephalus,Pacific cod,depthMax,300,both,N Pacific,Allen & Smith 1988,REEM,,
Gadus macrocephalus,Pacific cod,age50percentMaturity,2.0-3.0,both,Kodiak Is (GoA,Brown et al. 1984,REEM,,
Gadus macrocephalus,Pacific cod,age50percentMaturity,6,f,E Bering,Bakkala 1993,REEM,,
Gadus macrocephalus,Pacific cod,age50percentMaturity,6,f,E Bering,Mito et al. 1999,REEM,,
Gadus macrocephalus,Pacific cod,age50percentMaturity,5.8,f,Bering & Aleutian Islands,Witherell 2000,REEM,,
Gadus macrocephalus,Pacific cod,length50percentMaturity,65,f,GoA,Thompson et al. 2002,REEM,,
Gadus macrocephalus,Pacific cod,length50percentMaturity,45-47,both,Kodiak Is (GoA,Brown et al. 1984,REEM,,
Gadus macrocephalus,Pacific cod,length50percentMaturity,60,m,E Bering,Teshima 1985,REEM,,
Gadus macrocephalus,Pacific cod,length50percentMaturity,62,f,E Bering,Teshima 1985,REEM,,
Gadus macrocephalus,Pacific cod,length50percentMaturity,62-63,m,E Bering,Bakkala 1993,REEM,,
Gadus macrocephalus,Pacific cod,length50percentMaturity,62-63,m,E Bering,Mito et al. 1999,REEM,,
Gadus macrocephalus,Pacific cod,length50percentMaturity,67,f,Bering & Aleutian Islands,Witherell 2000,REEM,,
Gadus macrocephalus,Pacific cod,Linfinity,94,u,Hecate Strait,,fishbase,TL,
Gadus macrocephalus,Pacific cod,Linfinity,114,u,Hecate Strait,,fishbase,TL,
Gadus macrocephalus,Pacific cod,Linfinity,104.3,u,E Bering,,fishbase,TL,
Gadus macrocephalus,Pacific cod,Linfinity,105,u,Bering Sea,,fishbase,TL,
Gadus macrocephalus,Pacific cod,Linfinity,122.5,u,Okhotsk,,fishbase,TL,
Gadus macrocephalus,Pacific cod,K,0.27,u,Hecate Strait,,fishbase,,
Gadus macrocephalus,Pacific cod,K,0.19,u,Hecate Strait,,fishbase,,
Gadus macrocephalus,Pacific cod,K,0.222,u,E Bering,,fishbase,,
Gadus macrocephalus,Pacific cod,K,0.157,u,Bering Sea,,fishbase,,
Gadus macrocephalus,Pacific cod,K,0.11,u,Okhotsk,,fishbase,,
Glyptocephalus zachirus,rex sole,diet,"I, B",both,GoA,,REEM Groundfish Diet Database,,
Glyptocephalus zachirus,rex sole,guild,B,both,GoA,,REEM Groundfish Diet Database,,
Glyptocephalus zachirus,rex sole,trophicPosition,3.5,both,GoA,Aydin et al. 2007,,,
Glyptocephalus zachirus,rex sole,firstMaturityLength,30-33,u,NE Pacific,,fishbase,,
Glyptocephalus zachirus,rex sole,firstMaturityAge,4+,f,unknown,,fishbase,,
Glyptocephalus zachirus,rex sole,firstMaturityAge,3+,m,unknown,,fishbase,,
Glyptocephalus zachirus,rex sole,lengthMaximum,60,both,,,fishbase,TL,
Glyptocephalus zachirus,rex sole,lengthMaximum,84,u,GoA,AFSC trawl survey,REEM,,
Glyptocephalus zachirus,rex sole,ageMaximum,27,both,,,fishbase,,
Glyptocephalus zachirus,rex sole,ageMaximum,29,f,GoA,Abookire 2006,REEM,,
Glyptocephalus zachirus,rex sole,K,0.31,f,GoA,,2015 Stock Assessment,,
Glyptocephalus zachirus,rex sole,K,0.38,m,GoA,,2015 Stock Assessment,,
Glyptocephalus zachirus,rex sole,K,0.388,f,GoA,Abookire 2006,REEM,,
Glyptocephalus zachirus,rex sole,Linfinity,44.9,f,GoA,,2015 Stock Assessment,,
Glyptocephalus zachirus,rex sole,Linfinity,39.5,m,GoA,,2015 Stock Assessment,,
Glyptocephalus zachirus,rex sole,Linfinity,41.82,f,GoA,Abookire 2006,REEM,,
Glyptocephalus zachirus,rex sole,adultWaterColumnPosition,demersal,both,,,fishbase,,
Glyptocephalus zachirus,rex sole,adultSubstrate,"mud, sand",both,,,fishbase,,
Glyptocephalus zachirus,rex sole,depthRange,50-450,both,N Pacific,Allen & Smith 1988,REEM,,
Glyptocephalus zachirus,rex sole,depthMax,450,both,N Pacific,Allen & Smith 1988,REEM,,
Glyptocephalus zachirus,rex sole,age50percentMaturity,5.1,f,GoA,Abookire 2006,REEM,,
Glyptocephalus zachirus,rex sole,length50percentMaturity,35.2,f,GoA,Abookire 2006,REEM,,
Hemilepidotus jordani,yellow Irish lord,diet,"I, B",both,GoA,,REEM Groundfish Diet Database,,
Hemilepidotus jordani,yellow Irish lord,guild,B,both,GoA,,REEM Groundfish Diet Database,,
Hemilepidotus jordani,yellow Irish lord,trophicPosition,4,both,GoA,Aydin et al. 2007,,,
Hemilepidotus jordani,yellow Irish lord,firstMaturityLength,26-38,both,Kamchatka,Tokranov 1986,fishbase,,
Hemilepidotus jordani,yellow Irish lord,firstMaturityLength,34-38,f,Kamchatka,Tokranov 1988,fishbase,,
Hemilepidotus jordani,yellow Irish lord,firstMaturityLength,34-38,m,Kamchatka,Tokranov 1988,fishbase,,
Hemilepidotus jordani,yellow Irish lord,firstMaturityAge,4.0-7.0,both,Kamchatka,Tokranov 1986,fishbase,,
Hemilepidotus jordani,yellow Irish lord,firstMaturityAge,6.0-7.0,f,Kamchatka,Tokranov 1988,fishbase,,
Hemilepidotus jordani,yellow Irish lord,firstMaturityAge,6.0-7.0,m,Kamchatka,Tokranov 1988,fishbase,,
Hemilepidotus jordani,yellow Irish lord,lengthMaximum,41,both,,,fishbase,TL,
Hemilepidotus jordani,yellow Irish lord,lengthMaximum,50,both,GoA,,2015 Stock Assessment,,
Hemilepidotus jordani,yellow Irish lord,lengthMaximum,50,m,GoA,AFSC trawl survey,REEM,,
Hemilepidotus jordani,yellow Irish lord,lengthMaximum,65,m,Aleutian Islands,AFSC trawl survey,REEM,,
Hemilepidotus jordani,yellow Irish lord,ageMaximum,13,m,Kamchatka,Tokranov 1988b,REEM,,
Hemilepidotus jordani,yellow Irish lord,adultWaterColumnPosition,demersal,both,,,fishbase,,
Hemilepidotus jordani,yellow Irish lord,depthRange,0-250,both,N Pacific,Allen & Smith 1988,REEM,,
Hemilepidotus jordani,yellow Irish lord,depthMax,250,both,N Pacific,Allen & Smith 1988,REEM,,
Hemilepidotus jordani,yellow Irish lord,age50percentMaturity,6.0-7.0,both,Kamchatka,Tokranov 1988b,REEM,,
Hemilepidotus jordani,yellow Irish lord,length50percentMaturity,34-38,both,Kamchatka,Tokranov 1988b,REEM,,
Hemitripterus bolini,bigmouth sculpin,diet,"F, B",both,GoA,,REEM Groundfish Diet Database,,
Hemitripterus bolini,bigmouth sculpin,guild,A,both,GoA,,REEM Groundfish Diet Database,,
Hemitripterus bolini,bigmouth sculpin,trophicPosition,4,both,GoA,Aydin et al. 2007,,,
Hemitripterus bolini,bigmouth sculpin,lengthMaximum,73,both,,,fishbase,TL,
Hemitripterus bolini,bigmouth sculpin,lengthMaximum,86,both,GoA,,2015 Stock Assessment,,
Hemitripterus bolini,bigmouth sculpin,lengthMaximum,86,u,GoA,AFSC trawl survey,REEM,,
Hemitripterus bolini,bigmouth sculpin,adultWaterColumnPosition,demersal,both,,,fishbase,,
Hemitripterus bolini,bigmouth sculpin,depthRange,50-450,both,N Pacific,Allen & Smith 1988,REEM,,
Hemitripterus bolini,bigmouth sculpin,depthMax,450,both,N Pacific,Allen & Smith 1988,REEM,,
Hexagrammos decagrammus,kelp greenling,diet,"I, B",both,GoA,,REEM Groundfish Diet Database,,
Hexagrammos decagrammus,kelp greenling,guild,B,both,GoA,,REEM Groundfish Diet Database,,
Hexagrammos decagrammus,kelp greenling,trophicPosition,4.2,both,GoA,Aydin et al. 2007,,,
Hexagrammos decagrammus,kelp greenling,firstMaturityAge,3.0-5.0,u,unknown,Armstrong 1996,fishbase,,
Hexagrammos decagrammus,kelp greenling,lengthMaximum,61,both,,,fishbase,TL,
Hexagrammos decagrammus,kelp greenling,lengthMaximum,52,f,GoA,AFSC trawl survey,REEM,,
Hexagrammos decagrammus,kelp greenling,lengthMaximum,61,u,unknown,Lamb & Edgell 1986,REEM,,
Hexagrammos decagrammus,kelp greenling,ageMaximum,18,both,,,fishbase,,
Hexagrammos decagrammus,kelp greenling,ageMaximum,18,u,N SE Alaska,AFSC trawl survey,REEM,,
Hexagrammos decagrammus,kelp greenling,adultWaterColumnPosition,demersal,both,,,fishbase,,
Hexagrammos decagrammus,kelp greenling,adultSubstrate,"rocky, kelp, sand",both,,,fishbase,,
Hexagrammos decagrammus,kelp greenling,depthRange,0-50,both,unknown,Eschmeyer et al. 1983,REEM,,
Hexagrammos decagrammus,kelp greenling,depthMax,50,both,unknown,Eschmeyer et al. 1983,REEM,,
Hippoglossoides elassodon,flathead sole,diet,"I, B",both,GoA,,REEM Groundfish Diet Database,,
Hippoglossoides elassodon,flathead sole,guild,B,both,GoA,,REEM Groundfish Diet Database,,
Hippoglossoides elassodon,flathead sole,trophicPosition,3.8,both,GoA,Aydin et al. 2007,,,
Hippoglossoides elassodon,flathead sole,lengthConversionSLtoTL,1.223,both,,photo in Wellings & Chuinard 1964,,,
Hippoglossoides elassodon,flathead sole,age50percentMaturity,1.0-3.0,f,Washington,,fishbase,,
Hippoglossoides elassodon,flathead sole,age50percentMaturity,1.0-2.0,m,Washington,,fishbase,,
Hippoglossoides elassodon,flathead sole,length50percentMaturity,22-25,both,Russia,Moiseev 1953,fishbase,,
Hippoglossoides elassodon,flathead sole,lengthMaximum,52,both,,,fishbase,SL,
Hippoglossoides elassodon,flathead sole,lengthMaximum,74,m,GoA,AFSC trawl survey,REEM,,
Hippoglossoides elassodon,flathead sole,lengthMaximum,88,m,E Bering,AFSC trawl survey,REEM,,
Hippoglossoides elassodon,flathead sole,ageMaximum,27,both,,,fishbase,,
Hippoglossoides elassodon,flathead sole,ageMaximum,27,f,GoA,AFSC trawl survey,REEM,,
Hippoglossoides elassodon,flathead sole,ageMaximum,31,f,E Bering,AFSC trawl survey,REEM,,
Hippoglossoides elassodon,flathead sole,K,0.189,f,GoA,,2015 Stock Assessment,,
Hippoglossoides elassodon,flathead sole,K,0.256,m,GoA,,2015 Stock Assessment,,
Hippoglossoides elassodon,flathead sole,Linfinity,44.22,f,GoA,,2015 Stock Assessment,,
Hippoglossoides elassodon,flathead sole,Linfinity,36.78,m,GoA,,2015 Stock Assessment,,
Hippoglossoides elassodon,flathead sole,adultWaterColumnPosition,demersal,both,,,fishbase,,
Hippoglossoides elassodon,flathead sole,adultSlopeShelf,"shelf margin (winter), mid/outer shelf (summer)",both,GoA,,2015 Stock Assessment,,
Hippoglossoides elassodon,flathead sole,adultSubstrate,soft,both,,,fishbase,,
Hippoglossoides elassodon,flathead sole,adultSubstrate,"mud, sand",both,GoA,"Norcross et al. 1997, McConnaughey and Smith 2000",2015 Stock Assessment,,
Hippoglossoides elassodon,flathead sole,migratoryStatus,oceanadromous,both,,,fishbase,,
Hippoglossoides elassodon,flathead sole,depthRange,0-250,both,N Pacific,Allen & Smith 1988,REEM,,
Hippoglossoides elassodon,flathead sole,depthMax,250,both,N Pacific,Allen & Smith 1988,REEM,,
Hippoglossoides elassodon,flathead sole,age50percentMaturity,7.9,f,GoA,Turnock et al. 2002,REEM,,
Hippoglossoides elassodon,flathead sole,length50percentMaturity,32,f,GoA,Turnock et al. 2002,REEM,,
Hippoglossoides elassodon,flathead sole,Linfinity,36.8,m,GoA,,fishbase,,
Hippoglossoides elassodon,flathead sole,Linfinity,44.2,f,GoA,,fishbase,,
Hippoglossoides elassodon,flathead sole,Linfinity,48.62,m,unknown,,fishbase,,
Hippoglossoides elassodon,flathead sole,Linfinity,66.35,f,unknown,,fishbase,,
Hippoglossoides elassodon,flathead sole,K,0.256,m,GoA,,fishbase,,
Hippoglossoides elassodon,flathead sole,K,0.19,f,GoA,,fishbase,,
Hippoglossoides elassodon,flathead sole,K,0.1,m,unknown,,fishbase,,
Hippoglossoides elassodon,flathead sole,K,0.07,f,unknown,,fishbase,,
Hippoglossus stenolepis,Pacific halibut,diet,G,both,GoA,,REEM Groundfish Diet Database,,
Hippoglossus stenolepis,Pacific halibut,guild,A,both,GoA,,REEM Groundfish Diet Database,,
Hippoglossus stenolepis,Pacific halibut,trophicPosition,4.5,both,GoA,Aydin et al. 2007,,,
Hippoglossus stenolepis,Pacific halibut,length50percentMaturity,134+,u,Alaska,Schmitt & Skud 1978,fishbase,,
Hippoglossus stenolepis,Pacific halibut,length50percentMaturity,125+,u,Alaska,Schmitt & Skud 1978,fishbase,,
Hippoglossus stenolepis,Pacific halibut,age50percentMaturity,7.0-20.0,f,Pacific,Matarese et al. 1989,fishbase,,
Hippoglossus stenolepis,Pacific halibut,age50percentMaturity,5.0-20.0,m,Pacific,Matarese et al. 1989,fishbase,,
Hippoglossus stenolepis,Pacific halibut,age50percentMaturity,12.1+,u,Alaska,Schmitt & Skud 1978,fishbase,,
Hippoglossus stenolepis,Pacific halibut,age50percentMaturity,10.9+,u,Alaska,Schmitt & Skud 1978,fishbase,,
Hippoglossus stenolepis,Pacific halibut,lengthMaximum,267,both,,,fishbase,TL,
Hippoglossus stenolepis,Pacific halibut,lengthMaximum,290,u,GoA,AFSC trawl survey,REEM,,
Hippoglossus stenolepis,Pacific halibut,ageMaximum,55,both,,,fishbase,,
Hippoglossus stenolepis,Pacific halibut,ageMaximum,55,m,E Bering,IPHC 1998,REEM,,
Hippoglossus stenolepis,Pacific halibut,adultWaterColumnPosition,demersal,both,,,fishbase,,
Hippoglossus stenolepis,Pacific halibut,adultSlopeShelf,"shelf deep edge (winter), shallow coastal water (summer)",both,,,fishbase,,
Hippoglossus stenolepis,Pacific halibut,migratoryStatus,oceanadromous,both,,,fishbase,,
Hippoglossus stenolepis,Pacific halibut,depthRange,0-300,both,N Pacific,Allen & Smith 1988,REEM,,
Hippoglossus stenolepis,Pacific halibut,depthMax,300,both,N Pacific,Allen & Smith 1988,REEM,,
Hippoglossus stenolepis,Pacific halibut,age50percentMaturity,13.1,f,GoA (Kodiak Island),St. Pierre 1984 ,REEM,,
Hippoglossus stenolepis,Pacific halibut,age50percentMaturity,13.8,f,E Bering,Best 1981 ,REEM,,
Hippoglossus stenolepis,Pacific halibut,age50percentMaturity,7.5,m,E Bering,Best 1981 ,REEM,,
Hippoglossus stenolepis,Pacific halibut,age50percentMaturity,7.0-13,m,E Bering,Novikov 1964 ,REEM,,
Hippoglossus stenolepis,Pacific halibut,age50percentMaturity,9.0-15,f,E Bering,Novikov 1964 ,REEM,,
Hippoglossus stenolepis,Pacific halibut,age50percentMaturity,8,m,unknown,Deriso 1987 ,REEM,,
Hippoglossus stenolepis,Pacific halibut,age50percentMaturity,12,f,E Bering,Bakkala 1993 ,REEM,,
Hippoglossus stenolepis,Pacific halibut,age50percentMaturity,12,f,E Bering,Mito et al. 1999 ,REEM,,
Hippoglossus stenolepis,Pacific halibut,age50percentMaturity,12,f,unknown,Deriso 1987 ,REEM,,
Hippoglossus stenolepis,Pacific halibut,age50percentMaturity,14.5,f,E Bering,St. Pierre 1984 ,REEM,,
Hippoglossus stenolepis,Pacific halibut,length50percentMaturity,122,f,E Bering,Best 1981 ,REEM,,
Hippoglossus stenolepis,Pacific halibut,length50percentMaturity,72,m,E Bering,Best 1981 ,REEM,,
Hippoglossus stenolepis,Pacific halibut,length50percentMaturity,70-110,m,E Bering,Novikov 1964 ,REEM,,
Hippoglossus stenolepis,Pacific halibut,length50percentMaturity,90-140,f,E Bering,Novikov 1964 ,REEM,,
Hippoglossus stenolepis,Pacific halibut,length50percentMaturity,120,f,E Bering,Bakkala 1993 ,REEM,,
Hippoglossus stenolepis,Pacific halibut,length50percentMaturity,120,f,E Bering,Mito et al. 1999 ,REEM,,
Hippoglossus stenolepis,Pacific halibut,Linfinity,132,u,Bering Sea,,fishbase,TL,
Hippoglossus stenolepis,Pacific halibut,Linfinity,185.2,u,Bering Sea,,fishbase,TL,
Hippoglossus stenolepis,Pacific halibut,Linfinity,196.2,u,Kamchatka,,fishbase,TL,
Hippoglossus stenolepis,Pacific halibut,Linfinity,215,u,GoA,,fishbase,TL,
Hippoglossus stenolepis,Pacific halibut,Linfinity,215,u,GoA,,fishbase,TL,
Hippoglossus stenolepis,Pacific halibut,K,0.105,u,Bering Sea,,fishbase,,
Hippoglossus stenolepis,Pacific halibut,K,0.06,u,Bering Sea,,fishbase,,
Hippoglossus stenolepis,Pacific halibut,K,0.04,u,Kamchatka,,fishbase,,
Hippoglossus stenolepis,Pacific halibut,K,0.054,u,GoA,,fishbase,,
Hippoglossus stenolepis,Pacific halibut,K,0.054,u,GoA,,fishbase,,
Hyas lyratus,Pacific lyre crab,diet,"I, B",both,GoA,,REEM Groundfish Diet Database,,
Hyas lyratus,Pacific lyre crab,guild,E,both,GoA,,REEM Groundfish Diet Database,,
Hyas lyratus,Pacific lyre crab,trophicPosition,3.1,both,GoA,Aydin et al. 2007,,,
Hyas lyratus,Pacific lyre crab,adultWaterColumnPosition,benthic,both,,,,,
Hydrolagus colliei,spotted ratfish,diet,"I, B",both,GoA,,REEM Groundfish Diet Database,,
Hydrolagus colliei,spotted ratfish,guild,B,both,GoA,,REEM Groundfish Diet Database,,
Hydrolagus colliei,spotted ratfish,trophicPosition,3.5,both,GoA,Aydin et al. 2007,,,
Hydrolagus colliei,spotted ratfish,lengthMaximum,100,both,,,fishbase,TL,
Hydrolagus colliei,spotted ratfish,lengthMaximum,74,u,GoA,AFSC trawl survey,REEM,,
Hydrolagus colliei,spotted ratfish,adultWaterColumnPosition,demersal,both,,,fishbase,,
Hydrolagus colliei,spotted ratfish,depthRange,50-400,both,N Pacific,Allen & Smith 1988,REEM,,
Hydrolagus colliei,spotted ratfish,depthMax,400,both,N Pacific,Allen & Smith 1988,REEM,,
Hydrolagus colliei,spotted ratfish,Linfinity,79,u,,,fishbase,TL,
Hydrolagus colliei,spotted ratfish,Linfinity,96,u,,,fishbase,TL,
Hydrolagus colliei,spotted ratfish,Linfinity,38,u,,,fishbase,TL,
Hydrolagus colliei,spotted ratfish,Linfinity,42,u,,,fishbase,TL,
Hydrolagus colliei,spotted ratfish,K,0.2,f,Oregon,,fishbase,,
Hydrolagus colliei,spotted ratfish,K,0.22,m,Oregon,,fishbase,,
Hydrolagus colliei,spotted ratfish,K,0.36,m,West Coast,,fishbase,,
Hydrolagus colliei,spotted ratfish,K,0.26,f,West Coast,,fishbase,,
Isopsetta isolepis,butter sole,diet,"I, B",both,GoA,,REEM Groundfish Diet Database,,
Isopsetta isolepis,butter sole,guild,B,both,GoA,,REEM Groundfish Diet Database,,
Isopsetta isolepis,butter sole,trophicPosition,3.5,both,GoA,Aydin et al. 2007,,,
Isopsetta isolepis,butter sole,firstMaturityLength,18,m,British Columbia,Beverton & Holt 1959,fishbase,,
Isopsetta isolepis,butter sole,firstMaturityLength,21,f,British Columbia,Beverton & Holt 1959,fishbase,,
Isopsetta isolepis,butter sole,lengthMaximum,55,both,,,fishbase,TL,
Isopsetta isolepis,butter sole,lengthMaximum,64,u,GoA,AFSC trawl survey,REEM,,
Isopsetta isolepis,butter sole,ageMaximum,11,both,,,fishbase,,
Isopsetta isolepis,butter sole,ageMaximum,11,u,unknown,Eschmeyer et al. 1983 ,REEM,,
Isopsetta isolepis,butter sole,adultWaterColumnPosition,demersal,both,,,fishbase,,
Isopsetta isolepis,butter sole,migratoryStatus,oceanadromous,both,,,fishbase,,
Isopsetta isolepis,butter sole,depthRange,0-150,both,N Pacific,Allen & Smith 1988,REEM,,
Isopsetta isolepis,butter sole,depthMax,150,both,N Pacific,Allen & Smith 1988,REEM,,
Isopsetta isolepis,butter sole,Linfinity,38,m,West Coast,,fishbase,TL,
Isopsetta isolepis,butter sole,Linfinity,42,f,West Coast,,fishbase,TL,
Isopsetta isolepis,butter sole,K,0.36,m,West Coast,,fishbase,,
Isopsetta isolepis,butter sole,K,0.26,f,West Coast,,fishbase,,
Lepidopsetta spp.,rock soles,diet,"I, B",both,GoA,,REEM Groundfish Diet Database,,data for Northern & Southern rock sole
Lepidopsetta spp.,rock soles,guild,B,both,GoA,,REEM Groundfish Diet Database,,data for Northern & Southern rock sole
Lepidopsetta spp.,rock soles,trophicPosition,3.5,both,GoA,Aydin et al. 2007,,,data for Northern & Southern rock sole
Lepidopsetta spp.,rock soles,firstMaturityLength,24,m,Kamchatka,Antonov & Chetvergov 2003,fishbase,TL,data for Northern rock sole
Lepidopsetta spp.,rock soles,firstMaturityLength,29,f,Kamchatka,Antonov & Chetvergov 2003,fishbase,TL,data for Northern rock sole
Lepidopsetta spp.,rock soles,firstMaturityLength,32.8,f,GoA,Stark & Somerton 2002,fishbase,TL,data for Northern rock sole
Lepidopsetta spp.,rock soles,depthRange,0-100,both,GoA,Britt & Martin 2001,REEM,,data for Northern & Southern rock sole
Lepidopsetta spp.,rock soles,depthMax,100,both,GoA,Britt & Martin 2001,REEM,,data for Northern & Southern rock sole
Lepidopsetta spp.,rock soles,lengthMaximum,64,both,GoA,AFSC trawl survey,REEM,,data for Northern rock sole
Lepidopsetta spp.,rock soles,lengthMaximum,73,m,E Bering,AFSC trawl survey,REEM,,data for Northern rock sole
Lepidopsetta spp.,rock soles,Linfinity,38.2,m,GoA (Kodiak Is),Stark and Somerton 2002 ,REEM,,data for Northern rock sole
Lepidopsetta spp.,rock soles,Linfinity,42.9,f,GoA (Kodiak Is),Stark and Somerton 2002 ,REEM,,data for Northern rock sole
Lepidopsetta spp.,rock soles,K,0.261,m,GoA (Kodiak Is),Stark and Somerton 2002 ,REEM,,data for Northern rock sole
Lepidopsetta spp.,rock soles,K,0.236,f,GoA (Kodiak Is),Stark and Somerton 2002 ,REEM,,data for Northern rock sole
Lepidopsetta spp.,rock soles,ageMaximum,24,u,GoA,AFSC trawl survey,REEM,,data for Northern rock sole
Lepidopsetta spp.,rock soles,ageMaximum,27,u,E Bering,AFSC trawl survey,REEM,,data for Northern rock sole
Lepidopsetta spp.,rock soles,age50percentMaturity,7,f,GoA (Kodiak Is),Stark and Somerton 2002 ,REEM,,data for Northern rock sole
