"year","stat6","pounds"
1987,605504,585029
1987,605506,7827
1987,605507,225622
1987,605531,576838
1987,605532,162866
1987,605533,6510
1987,605602,3767200
1987,615330,111759
1987,615400,637671
1987,615432,18096
1987,615501,18352
1987,615504,681
1987,615505,19554
1987,615507,6042
1987,615602,1207
1987,625330,18877
1987,625401,10713
1987,625402,1684522
1987,625431,1282
1987,625434,95335
1987,625435,1251
1987,625501,12294
1987,625504,523308
1987,625532,4466
1987,635330,234944
1987,635400,379162
1987,635434,20483
1987,635436,15468
1987,635501,504900
1987,645331,170154
1987,645401,132927
1987,645502,924530
1988,230,243021
1988,231,171366
1988,232,102984
1988,240,756170
1988,241,364248
1988,242,288345
1988,250,3291402
1988,251,183259
1988,260,6638732
1988,261,4306603
1988,270,6890037
1988,271,450557
1988,272,136542
1988,280,7826922
1988,281,355238
1988,290,1442605
1988,291,221992
1988,300,1507504
1988,310,487100
1988,320,1214415
1988,330,504596
1988,340,778745
1988,350,304720
1988,20102,88
1988,23105,117
1988,23130,150
1988,23202,824
1988,24112,976
1988,24115,61
1988,24421,19945
1988,445900,587099
1988,445931,539234
1988,445932,17160
1988,455900,1498316
1988,455930,94872
1988,456002,1271
1988,456031,16185
1988,465901,728400
1988,465902,442
1988,465931,24581
1988,465932,37512
1988,466001,1199
1988,466002,683
1988,466003,25841
1988,466004,131
1988,466032,3533
1988,466033,3671
1988,475730,30364
1988,475800,178987
1988,475830,569278
1988,475900,1815928
1988,475931,118086
1988,475932,2021
1988,475933,69816
1988,476002,1570
1988,476003,110823
1988,476004,6617
1988,476005,9877
1988,476006,10639
1988,476007,4644
1988,476008,877
1988,476032,124364
1988,476033,50000
1988,476034,28576
1988,476035,2624
1988,476036,102
1988,485730,160101
1988,485800,2592600
1988,485831,1883540
1988,485832,873858
1988,485901,243398
1988,485931,2851
1988,485932,76818
1988,485933,85
1988,486005,4670
1988,486031,3264
1988,486033,4665
1988,495700,55473
1988,495730,1826128
1988,495800,1765826
1988,495831,121882
1988,495832,155451
1988,495901,78644
1988,495902,5100
1988,495931,213660
1988,495932,224198
1988,495934,34797
1988,495935,196
1988,495936,18503
1988,495938,19400
1988,495939,1995
1988,496002,19565
1988,505630,45436
1988,505700,1165570
1988,505730,6296040
1988,505800,7230863
1988,505831,61613
1988,505832,88174
1988,505901,31211
1988,505902,24500
1988,505903,57478
1988,505907,10802
1988,505908,23742
1988,505931,10388
1988,505932,1535
1988,515600,38406
1988,515630,2213546
1988,515700,7403995
1988,515730,17152851
1988,515801,27334
1988,515802,12205837
1988,515831,4247
1988,515832,13427
1988,515833,156863
1988,515901,5333
1988,515902,924
1988,515903,19847
1988,515904,7768
1988,515905,5424
1988,515907,1976
1988,515908,4002
1988,515933,15427
1988,515935,183768
1988,515936,13056
1988,515937,1814
1988,515938,107
1988,516001,2392
1988,516030,2212
1988,525600,1649358
1988,525630,5622460
1988,525701,24986
1988,525702,42332911
1988,525703,279268
1988,525731,4975128
1988,525732,288110
1988,525733,359503
1988,525801,319130
1988,525802,1216619
1988,525803,81906
1988,525805,8476327
1988,525806,1808447
1988,525807,4505316
1988,525831,4571
1988,525833,5866
1988,525834,21144
1988,525836,462
1988,525901,7545
1988,525902,24502
1988,525931,23803
1988,526002,3676
1988,526003,2300
1988,535530,1061300
1988,535601,39114
1988,535602,784387
1988,535631,162887
1988,535632,1176550
1988,535702,57911
1988,535703,82776
1988,535704,814219
1988,535731,5586888
1988,535732,1136008
1988,535733,5830
1988,535734,342534
1988,535802,10749075
1988,535803,2296112
1988,535903,12936
1988,535904,2912
1988,535905,1550
1988,535906,9985
1988,535931,600
1988,535932,177
1988,545500,30650
1988,545530,1423769
1988,545602,81516
1988,545631,35035
1988,545632,8062
1988,545702,808943
1988,545704,1823
1988,545731,51808
1988,545732,2063602
1988,545734,1146248
1988,545802,536139
1988,545804,2332516
1988,555500,1881508
1988,555532,1025291
1988,555600,1550
1988,555630,283440
1988,555701,893462
1988,555702,25542
1988,565430,124545
1988,565500,1166990
1988,565601,1066802
1988,575400,39677
1988,575430,599007
1988,575603,5242
1988,585400,131620
1988,585430,304344
1988,585500,29070
1988,585531,7792
1988,585532,1446
1988,585601,3297
1988,595400,653844
1988,595431,227025
1988,595501,110787
1988,595503,365402
1988,595504,135311
1988,595531,55356
1988,595532,19454
1988,595533,61804
1988,605400,681340
1988,605431,8302149
1988,605432,269068
1988,605501,57100
1988,605502,164213
1988,605503,836946
1988,605504,529732
1988,605505,21233
1988,605506,27202
1988,605507,407594
1988,605531,112155
1988,605532,68901
1988,605533,2148
1988,605534,25879
1988,605535,7633704
1988,615330,31993
1988,615400,1349315
1988,615431,122198
1988,615432,3941
1988,615504,12141
1988,615506,1695
1988,615507,43470
1988,615508,7501
1988,625330,205964
1988,625401,284481
1988,625402,2616451
1988,625435,8909
1988,625501,394
1988,625502,1871
1988,625504,226958
