"Species","Model","Mean","q.05","q.25","q.50","q.75","q.95"
"Oncorhynchus.keta","binomial","391.478003336562","274.522469442453","334.36657267764","383.580156732871","439.758397733306","534.48564020068"
"Platichthys.stellatus","pos","25.0188289631767","14.5155718053604","19.3134077357981","23.6940481395882","29.2859636498262","39.9202816337743"
"Platichthys.stellatus","binomial","168.791716376522","90.355122237384","125.097288138792","157.768541689575","200.383566856297","283.991552354352"
"Hexagrammos.decagrammus","pos","114.731378480377","51.6241774933636","79.081656282453","105.850094649218","140.254271138559","207.812597424073"
"Hexagrammos.decagrammus","binomial","494.328292440723","269.393588165901","372.791997056495","467.511709810438","585.934509325013","809.029566187805"
"Limanda.aspera","pos","16.3890706536966","3.29116334298158","6.90299975158449","11.699429979857","20.2156098691118","44.9764310251199"
"Limanda.aspera","binomial","520.481649572451","508.292224979114","514.201001913294","520.728416926366","526.81778172499","531.780583453912"
"Podothecus.accipenserinus","pos","1.20883138009146","0.527512979559965","0.821129884601199","1.11036113714714","1.484047889808","2.2226903952529"
"Podothecus.accipenserinus","binomial","433.912876825861","275.382721051971","350.255995326548","416.431779022903","498.834441983385","650.152089217519"
"Oncorhynchus.tshawytscha","pos","1000.77214234615","508.592405213156","702.937655092408","901.970185977974","1192.00460936466","1819.89263008896"
"Oncorhynchus.tshawytscha","binomial","819.86164178389","538.737979448015","673.215251983232","790.587319569091","935.300492482451","1197.37712030956"
"Pleuronectes.quadrituberculatus","pos","26.9287796931088","7.62762299460665","15.2850708204682","23.9401308220588","35.1929445968614","56.3888024768542"
"Pleuronectes.quadrituberculatus","binomial","574.963503997285","561.277561728005","569.834477915035","575.287135779074","580.437434660742","587.405095639869"
"Myctophidae","pos","88.7548327311886","-0.293809926948748","6.11875562805104","33.5790486574264","116.9577551199","344.991021381111"
"Myctophidae","binomial","1097.34241980123","752.377351345501","917.015321610971","1060.68064926008","1239.40884411751","1562.32327360853"
"Sebastes.proriger","pos","29.3835120280639","7.88327610158089","16.2844187140476","25.9568899315115","38.6313802538583","62.3992121094313"
"Sebastes.proriger","binomial","637.164055027542","302.320436582919","445.492505674909","585.075775031235","770.708212107214","1146.47977743346"
"Dusky.and.Dark.Rockfish","pos","1.16423372133141","0.913939341109951","1.06366313763955","1.17134857981482","1.26911532918193","1.38971173514414"
"Dusky.and.Dark.Rockfish","binomial","868.970483268628","566.669133254348","712.682517183181","839.217363243121","993.156970386568","1269.47977974723"
"Rougheye.and.Blackspotted.Rockfish","pos","36.837399535338","19.1091521238396","27.7645988582712","35.5182078391972","44.2993625781878","59.0674947776939"
"Rougheye.and.Blackspotted.Rockfish","binomial","336.585817575897","200.655576093634","265.214315709819","322.409734926053","392.255160493985","519.757022365489"
