"MASTER_ID","LONGITUDE","LATITUDE","LonUTMAlbers","LatUTMAlbers","Area"
35703,-156.16809,55.7661,-384.9469331,5670.923156,14
35704,-156.13621,55.76668,-382.957007,5670.81061,14
35705,-156.10433,55.76725,-380.9670829,5670.698022,14
35706,-156.07245,55.76782,-378.9771606,5670.58539,14
35707,-156.04057,55.76837,-376.9872402,5670.472716,14
35708,-156.00869,55.76892,-374.9973218,5670.359999,14
35964,-156.743,55.77209,-420.6522453,5674.945334,14
35965,-156.71113,55.77283,-418.6622569,5674.833558,14
35966,-156.67925,55.77355,-416.6722703,5674.72174,14
35967,-156.64738,55.77427,-414.6822854,5674.609878,14
35968,-156.6155,55.77499,-412.6923022,5674.497974,14
35969,-156.58363,55.77569,-410.7023208,5674.386026,14
35970,-156.55175,55.77638,-408.7123412,5674.274036,14
35971,-156.51987,55.77707,-406.7223634,5674.162003,14
35972,-156.48799,55.77774,-404.7323873,5674.049927,14
35973,-156.45611,55.77841,-402.7424131,5673.937808,14
35974,-156.42423,55.77907,-400.7524406,5673.825646,14
35975,-156.39234,55.77972,-398.76247,5673.713441,14
35976,-156.36046,55.78036,-396.7725012,5673.601193,14
35977,-156.32857,55.781,-394.7825342,5673.488903,14
35978,-156.29668,55.78162,-392.792569,5673.376569,14
35979,-156.2648,55.78224,-390.8026057,5673.264193,14
35980,-156.23291,55.78284,-388.8126443,5673.151774,14
35981,-156.20102,55.78344,-386.8226847,5673.039312,14
35982,-156.16913,55.78403,-384.832727,5672.926807,14
35983,-156.13723,55.78462,-382.8427712,5672.814259,14
35984,-156.10534,55.78519,-380.8528173,5672.701668,14
35985,-156.07345,55.78575,-378.8628653,5672.589034,14
35986,-156.04155,55.78631,-376.8729152,5672.476358,14
35987,-156.00966,55.78686,-374.882967,5672.363638,14
36242,-156.74432,55.79002,-420.5385791,5676.948997,14
36243,-156.71243,55.79076,-418.548561,5676.837219,14
36244,-156.68054,55.79149,-416.5585447,5676.725397,14
36245,-156.64865,55.79221,-414.5685301,5676.613534,14
36246,-156.61676,55.79292,-412.5785172,5676.501627,14
36247,-156.58487,55.79362,-410.5885061,5676.389677,14
36248,-156.55297,55.79431,-408.5984968,5676.277684,14
36249,-156.52108,55.795,-406.6084892,5676.165649,14
36250,-156.48918,55.79568,-404.6184834,5676.05357,14
36251,-156.45729,55.79634,-402.6284794,5675.941449,14
36252,-156.42539,55.797,-400.6384772,5675.829285,14
36253,-156.39349,55.79765,-398.6484768,5675.717078,14
36254,-156.36159,55.7983,-396.6584783,5675.604828,14
36255,-156.32969,55.79893,-394.6684815,5675.492535,14
36256,-156.29779,55.79956,-392.6784866,5675.380199,14
36257,-156.26588,55.80017,-390.6884936,5675.267821,14
36258,-156.23398,55.80078,-388.6985024,5675.155399,14
36259,-156.20208,55.80138,-386.708513,5675.042935,14
36260,-156.17017,55.80197,-384.7185256,5674.930427,14
