"MASTER_ID","LONGITUDE","LATITUDE","LonUTMAlbers","LatUTMAlbers","WATER","SRTM_M","NGDC24_M","Area","depth"
18914,-161.80454,54.56784,-756.902524605675,5584.63900983488,1,-95,-102,1,102
20724,-158.88711,54.82027,-567.422265964789,5584.54807863802,1,-78,-61,1,61
19276,-161.19343,54.62621,-717.01889404556,5584.54715916722,1,-91,-87,1,87
19638,-160.61136,54.67952,-679.123377577961,5584.54393748089,1,-114,-126,1,126
18915,-161.77385,54.56994,-754.913831600797,5584.53455300439,1,-119,-135,1,135
19277,-161.16266,54.62815,-715.030197186257,5584.44182934704,1,-94,-90,1,90
20725,-158.85608,54.82159,-565.433561003196,5584.43948329954,1,-78,-67,1,67
19639,-160.58052,54.6813,-677.13467693969,5584.43777911893,1,-116,-128,1,128
18916,-161.74315,54.57204,-752.925139693816,5584.43005263427,1,-127,-132,1,132
19278,-161.13189,54.63008,-713.041501497998,5584.33645603534,1,-98,-92,1,92
19640,-160.54968,54.68308,-675.145977549232,5584.33157731061,1,-116,-129,1,129
20726,-158.82506,54.8229,-563.444857556044,5584.33084464049,1,-85,-73,1,73
18917,-161.71245,54.57412,-750.936448888672,5584.32550872682,1,-132,-101,1,101
19279,-161.10111,54.632,-711.052806985126,5584.23103923438,1,-101,-95,1,95
19641,-160.51883,54.68484,-673.157279411282,5584.2253320581,1,-114,-126,1,126
20727,-158.79403,54.8242,-561.456155628966,5584.22216266277,1,-88,-79,1,79
18918,-161.68175,54.5762,-748.947759189341,5584.22092128431,1,-117,-103,1,103
18557,-162.26067,54.51745,-786.842119560066,5584.19496043991,1,-144,-149,1,149
19280,-161.07033,54.63392,-709.064113651998,5584.12557894639,1,-105,-99,1,99
19642,-160.48798,54.6866,-671.168582530552,5584.11904336359,1,-110,-123,1,123
18919,-161.65105,54.57827,-746.959070599792,5584.11629030905,1,-100,-102,1,102
20728,-158.763,54.82549,-559.467455227603,5584.11343736824,1,-93,-86,1,86
18558,-162.23005,54.51968,-784.853436753852,5584.09115968554,1,-131,-143,1,143
19281,-161.03955,54.63582,-707.075421502984,5584.02007517361,1,-110,-105,1,105
19643,-160.45713,54.68835,-669.179886911773,5584.01271122924,1,-104,-119,1,119
18920,-161.62034,54.58033,-744.970383124034,5584.01161580333,1,-84,-102,1,102
