"MASTER_ID","LONGITUDE","LATITUDE","LonUTMAlbers","LatUTMAlbers","WATER","SRTM_M","NGDC24_M","Area"
100509,-145.48101,59.59463,254.186154793781,6090.26980444957,1,-131,-127,"1"
100129,-146.01455,59.61014,224.110619890995,6090.15107956138,1,-119,-122,"1"
99754,-146.58391,59.62548,192.037818729848,6090.14748579848,1,-94,-100,"1"
100510,-145.44576,59.59234,256.18279237803,6090.14436537774,1,-130,-127,"1"
100130,-145.97925,59.60799,226.107332624977,6090.02624502409,1,-127,-127,"1"
99755,-146.54856,59.62348,194.034608824068,6090.0232946921,1,-100,-104,"1"
100511,-145.41052,59.59004,258.179422131772,6090.01888576406,1,-129,-125,"1"
100131,-145.94396,59.60583,228.104037840191,6089.90137006364,1,-135,-135,"1"
99756,-146.51321,59.62148,196.031391739419,6089.89906328032,1,-99,-105,"1"
100512,-145.37528,59.58773,260.176044035896,6089.89336559908,1,-126,-125,"1"
100132,-145.90867,59.60366,230.100735516898,6089.77645467115,1,-139,-142,"1"
99757,-146.47787,59.61946,198.028167455535,6089.7747915549,1,-98,-99,"1"
100513,-145.34005,59.58541,262.17265807134,6089.76780487333,1,-116,-121,"1"
99758,-146.44253,59.61743,200.024935952104,6089.65047950752,1,-97,-96,"1"
100514,-145.30482,59.58308,264.169264219087,6089.64220357729,1,-111,-120,"1"
99759,-146.4072,59.6154,202.021697208838,6089.52612712986,1,-90,-94,"1"
100515,-145.2696,59.58074,266.165862460168,6089.51656170143,1,-108,-115,"1"
99760,-146.37187,59.61335,204.018451205506,6089.40173441355,1,-90,-94,"1"
100516,-145.23438,59.57839,268.162452775664,6089.39087923616,1,-113,-117,"1"
99761,-146.33654,59.6113,206.01519792192,6089.2773013502,1,-96,-100,"1"
99385,-146.90605,59.62525,173.942370451019,6089.26791514727,1,-133,-134,"1"
100517,-145.19917,59.57603,270.159035146702,6089.26515617187,1,-119,-118,"1"
99762,-146.30122,59.60923,208.011937337927,6089.15282793135,1,-97,-103,"1"
99386,-146.87068,59.62334,175.939183916314,6089.14408445355,1,-127,-124,"1"
100518,-145.16396,59.57366,272.15560955447,6089.13939249893,1,-112,-117,"1"
99763,-146.26591,59.60716,210.008669433421,6089.02831414852,1,-99,-101,"1"
99387,-146.83532,59.62142,177.935990405137,6089.02021350739,1,-117,-119,"1"
100519,-145.12875,59.57128,274.152175980186,6089.01358820764,1,-122,-126,"1"
99764,-146.2306,59.60508,212.005394188341,6088.90375999319,1,-101,-104,"1"
99388,-146.79996,59.61949,179.932789896828,6088.89630230088,1,-104,-112,"1"
99765,-146.19529,59.60298,214.002111582675,6088.77916545682,1,-104,-109,"1"
100140,-145.62651,59.58597,246.074043190876,6088.77567490023,1,-140,-149,"1"
99389,-146.7646,59.61755,181.929582370775,6088.77235082611,1,-103,-108,"1"
99766,-146.15998,59.60088,215.998821596447,6088.65453053081,1,-107,-112,"1"
100141,-145.59127,59.58371,248.070672140387,6088.65039521388,1,-132,-135,"1"
99390,-146.72924,59.6156,183.926367806398,6088.64835907516,1,-109,-111,"1"
99767,-146.12469,59.59877,217.995524209726,6088.52985520655,1,-113,-117,"1"
100142,-145.55602,59.58145,250.067293356546,6088.52507500473,1,-137,-137,"1"
99391,-146.6939,59.61364,185.923146183164,6088.52432703999,1,-109,-112,"1"
99768,-146.08939,59.59665,219.992219402633,6088.40513947536,1,-121,-123,"1"
99392,-146.65855,59.61167,187.919917480581,6088.4002547126,1,-108,-111,"1"
100143,-145.52078,59.57918,252.063906820127,6088.39971426354,1,-125,-129,"1"
99769,-146.0541,59.59452,221.988907155318,6088.28038332855,1,-134,-138,"1"
99393,-146.62321,59.60969,189.916681678197,6088.27614208492,1,-102,-109,"1"
100144,-145.48555,59.57689,254.060512511949,6088.27431298099,1,-133,-130,"1"
99770,-146.01882,59.59238,223.985587448,6088.1555867574,1,-135,-141,"1"
99394,-146.58787,59.60771,191.913438755604,6088.15198914883,1,-101,-105,"1"
100145,-145.45032,59.5746,256.057110412878,6088.14887114776,1,-140,-135,"1"
