database.name,taxon,species,genus,family,order,class,superclass,subphylum,phylum,kingdom,genus.species,common.name,fish.invert,pelagic.benthic,total.biomass.fish,All,diet,guild
Glyptocephalus.zachirus,Glyptocephalus zachirus,zachirus,Glyptocephalus,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Glyptocephalus zachirus,rex sole,fish,benthic,1,All,"I, B",B
Hemilepidotus.jordani,Hemilepidotus jordani,jordani,Hemilepidotus,Cottidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Hemilepidotus jordani,yellow Irish lord,fish,benthic,1,All,"I, B",B
Hemitripterus.bolini,Hemitripterus bolini,bolini,Hemitripterus,Hemitripteridae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Hemitripterus bolini,bigmouth sculpin,fish,benthic,1,All,"F, B",A
Hexagrammos.decagrammus,Hexagrammos decagrammus,decagrammus,Hexagrammos,Hexagrammidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Hexagrammos decagrammus,kelp greenling,fish,benthic,1,All,"I, B",B
Hippoglossoides.elassodon,Hippoglossoides elassodon,elassodon,Hippoglossoides,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Hippoglossoides elassodon,flathead sole,fish,benthic,1,All,"I, B",B
Hippoglossus.stenolepis,Hippoglossus stenolepis,stenolepis,Hippoglossus,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Hippoglossus stenolepis,Pacific halibut,fish,benthic,1,All,G,A
Hyas.lyratus,Hyas lyratus,lyratus,Hyas,Oregoniidae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Hyas lyratus,Pacific lyre crab,invert,benthic,0,All,"I, B",E
Hydrolagus.colliei,Hydrolagus colliei,colliei,Hydrolagus,Chimaeridae,Chimaeriformes,Holocephali,Pisces,Vertebrata,Chordata,Animalia,Hydrolagus colliei,spotted ratfish,fish,benthic,1,All,"I, B",B
Isopsetta.isolepis,Isopsetta isolepis,isolepis,Isopsetta,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Isopsetta isolepis,butter sole,fish,benthic,1,All,"I, B",B
Lepidopsetta.sp.,Lepidopsetta sp,NA,Lepidopsetta,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Lepidopsetta spp.,rock soles,fish,benthic,1,All,"I, B",B
Limanda.aspera,Limanda aspera,aspera,Limanda,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Limanda aspera,yellowfin sole,fish,benthic,1,All,"I, B",B
Lycodes.brevipes,Lycodes brevipes,brevipes,Lycodes,Zoarcidae,Perciformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Lycodes brevipes,shortfin eelpout,fish,benthic,1,All,"I, B",B
Lycodes.palearis,Lycodes palearis,palearis,Lycodes,Zoarcidae,Perciformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Lycodes palearis,wattled eelpout,fish,benthic,1,All,"I, B",B
Lyopsetta.exilis,Lyopsetta exilis,exilis,Lyopsetta,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Lyopsetta exilis,slender sole,fish,benthic,1,All,"I, B",B
Malacocottus.zonurus,Malacocottus zonurus,zonurus,Malacocottus,Psychrolutidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Malacocottus zonurus,darkfin sculpin,fish,benthic,1,All,"I, B",B
Microstomus.pacificus,Microstomus pacificus,pacificus,Microstomus,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Microstomus pacificus,Dover sole,fish,benthic,1,All,"I, B",B
Myoxocephalus.polyacanthocephalus,Myoxocephalus polyacanthocephalus,polyacanthocephalus,Myoxocephalus,Cottidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Vertebrata,Chordata,Animalia,Myoxocephalus polyacanthocephalus,great sculpin,fish,benthic,1,All,"I, B",B
Ophiodon.elongatus,Ophiodon elongatus,elongatus,Ophiodon,Hexagrammidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Ophiodon elongatus,lingcod,fish,benthic,1,All,"F, C",A
Parophrys.vetulus,Parophrys vetulus,vetulus,Parophrys,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Parophrys vetulus,English sole,fish,benthic,1,All,"I, B",B
Platichthys.stellatus,Platichthys stellatus,stellatus,Platichthys,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Platichthys stellatus,starry flounder,fish,benthic,1,All,"I, B",B
Pleurogrammus.monopterygius,Pleurogrammus monopterygius,monopterygius,Pleurogrammus,Hexagrammidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Pleurogrammus monopterygius,Atka mackerel,fish,benthic,1,All,"I, C",P
Pleuronectes.quadrituberculatus,Pleuronectes quadrituberculatus,quadrituberculatus,Pleuronectes,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Pleuronectes quadrituberculatus,Alaska plaice,fish,benthic,1,All,"I, B",B
Raja.binoculata,Raja binoculata,binoculata,Raja,Rajidae,Rajiformes,Chondrichthyes,Pisces,Vertebrata,Chordata,Animalia,Raja binoculata,big skate,fish,benthic,1,All,G,B
Raja.rhina,Raja rhina,rhina,Raja,Rajidae,Rajiformes,Chondrichthyes,Pisces,Vertebrata,Chordata,Animalia,Raja rhina,longnose skate,fish,benthic,1,All,F,B
Rougheye.and.Blackspotted.Rockfish,RougheyeandBlackspottedRockfish,aleutianus/melanostictus,Sebastes,Sebastidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Sebastes group 2,,fish,benthic,1,All,"I, C",P
Sebastes.alutus,Sebastes alutus,alutus,Sebastes,Sebastidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Sebastes alutus,Pacific ocean perch,fish,benthic,1,All,"I, C",P
Sebastes.babcocki,Sebastes babcocki,babcocki,Sebastes,Sebastidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Sebastes babcocki,redbanded rockfish,fish,benthic,1,All,"I, C",P
Sebastes.borealis,Sebastes borealis,borealis,Sebastes,Sebastidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Sebastes borealis,shortraker rockfish,fish,benthic,1,All,"I, C",P
Sebastes.brevispinis,Sebastes brevispinis,brevispinis,Sebastes,Scorpaenidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Vertebrata,Chordata,Animalia,Sebastes brevispinis,silvergray rockfish,fish,benthic,1,All,"I, C",P
Sebastes.polyspinis,Sebastes polyspinis,polyspinis,Sebastes,Sebastidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Sebastes polyspinis,northern rockfish,fish,benthic,1,All,"I, C",P
Sebastes.proriger,Sebastes proriger,proriger,Sebastes,Sebastidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Sebastes proriger,redstripe rockfish,fish,benthic,1,All,"I, C",P
Sebastes.variegatus,Sebastes variegatus,variegatus,Sebastes,Sebastidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Sebastes variegatus,harlequin rockfish,fish,benthic,1,All,"I, C",P
Sebastes.zacentrus,Sebastes zacentrus,zacentrus,Sebastes,Sebastidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Sebastes zacentrus,sharpchin rockfish,fish,benthic,1,All,"I, C",P
Sebastolobus.alascanus,Sebastolobus alascanus,alascanus,Sebastolobus,Sebastidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Sebastolobus alascanus,shortspine thornyhead,fish,benthic,1,All,"I, B",B
Squalus.acanthias,Squalus acanthias,acanthias,Squalus,Squalidae,Squaliformes,Chondrichthyes,Pisces,Vertebrata,Chordata,Animalia,Squalus acanthias,piked dogfish,fish,benthic,1,All,"G, B",B
Zaprora.silenus,Zaprora silenus,silenus,Zaprora,Zaproridae,Perciformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Zaprora silenus,prowfish,fish,benthic,1,All,"I, C",P
Podothecus.accipenserinus,Podothecus accipenserinus,accipenserinus,Podothecus,Agonidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Podothecus accipenserinus,Sturgeon Poacher,fish,benthic,1,All,"I, B",B
Clupea.pallasi,Clupea pallasi,pallasii,Clupea,Clupeidae,Clupeiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Clupea pallasii,Pacific herring,fish,pelagic,1,All,"I, C",P
Dasycottus.setiger,Dasycottus setiger,setiger,Dasycottus,Psychrolutidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Dasycottus setiger,spinyhead sculpin,fish,pelagic,1,All,"I, B",B
Mallotus.villosus,Mallotus villosus,villosus,Mallotus,Osmeridae,Osmeriformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Mallotus villosus,capelin,fish,pelagic,1,All,"I, C",P
Merluccius.productus,Merluccius productus,productus,Merluccius,Merlucciidae,Gadiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Merluccius productus,Pacific hake,fish,pelagic,1,All,"I, C",P
Myctophidae,Myctophidae,NA,NA,Myctophidae,Myctophiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Myctophidae spp.,lanternfishes,fish,pelagic,1,All,"I, C",P
Oncorhynchus.keta,Oncorhynchus keta,keta,Oncorhynchus,Salmonidae,Salmoniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Oncorhynchus tshawytscha,Chum salmon,fish,pelagic,1,All,"I, C",P
Oncorhynchus.tshawytscha,Oncorhynchus tshawytscha,tshawytscha,Oncorhynchus,Salmonidae,Salmoniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Oncorhynchus tshawytscha,Chinook salmon,fish,pelagic,1,All,F,A
Thaleichthys.pacificus,Thaleichthys pacificus,pacificus,Thaleichthys,Osmeridae,Osmeriformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Thaleichthys pacificus,eulachon,fish,pelagic,1,All,"I, C",P
